ip_address,city_network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,postal_code,latitude,longitude,accuracy_radius,continent_code,country_iso_code,subdivision_1_iso_code,subdivision_2_iso_code,metro_code,time_zone,is_in_european_union,asn_network,autonomous_system_number,is_tor_node
A:171.25.193.25,B:171.25.193.0/24,C:2661886,D:2661886,E:,F:0,G:,H:59.3247,I:18.0560,J:500,K:EU,L:SE,M:,N:,O:,P:Europe/Stockholm,Q:1,R:171.25.193.0/24,S:198093,T:1
A:80.67.167.81,B:80.67.167.0/24,C:2988507,D:3017382,E:,F:0,G:75001,H:48.8558,I:2.3494,J:20,K:EU,L:FR,M:IDF,N:75,O:,P:Europe/Paris,Q:1,R:80.67.167.0/24,S:2027,T:1
A:198.98.51.189,B:198.98.48.0/20,C:5139568,D:6252001,E:,F:0,G:10311,H:40.6063,I:-74.1774,J:20,K:NA,L:US,M:NY,N:,O:501,P:America/New_York,Q:0,R:198.98.48.0/20,S:53667,T:1
A:89.58.26.216,B:89.58.24.0/21,C:2861650,D:2921044,E:,F:0,G:90431,H:49.4423,I:11.0191,J:20,K:EU,L:DE,M:BY,N:,O:,P:Europe/Berlin,Q:1,R:89.58.0.0/18,S:197540,T:1
A:109.70.100.4,B:109.70.96.0/21,C:2761369,D:2782113,E:,F:0,G:1020,H:48.2170,I:16.3944,J:5,K:EU,L:AT,M:9,N:,O:,P:Europe/Vienna,Q:1,R:109.70.100.0/24,S:208323,T:1
A:5.45.102.93,B:5.45.96.0/20,C:2861650,D:2921044,E:,F:0,G:90431,H:49.4423,I:11.0191,J:20,K:EU,L:DE,M:BY,N:,O:,P:Europe/Berlin,Q:1,R:5.45.96.0/20,S:197540,T:1
A:192.42.116.196,B:192.42.116.0/22,C:2750405,D:2750405,E:,F:0,G:,H:52.3824,I:4.8995,J:100,K:EU,L:NL,M:,N:,O:,P:Europe/Amsterdam,Q:1,R:192.42.116.0/24,S:215125,T:1
A:45.141.215.62,B:45.141.215.0/24,C:756135,D:2750405,E:,F:0,G:00-510,H:52.2299,I:21.0093,J:20,K:EU,L:PL,M:14,N:,O:,P:Europe/Warsaw,Q:1,R:45.141.215.0/24,S:210558,T:1
A:94.102.51.15,B:94.102.50.0/23,C:2759794,D:2750405,E:,F:0,G:1012,H:52.3716,I:4.8883,J:20,K:EU,L:NL,M:NH,N:,O:,P:Europe/Amsterdam,Q:1,R:94.102.48.0/20,S:202425,T:1
A:192.42.116.213,B:192.42.116.0/22,C:2750405,D:2750405,E:,F:0,G:,H:52.3824,I:4.8995,J:100,K:EU,L:NL,M:,N:,O:,P:Europe/Amsterdam,Q:1,R:192.42.116.0/24,S:215125,T:1
A:45.141.215.80,B:45.141.215.0/24,C:756135,D:2750405,E:,F:0,G:00-510,H:52.2299,I:21.0093,J:20,K:EU,L:PL,M:14,N:,O:,P:Europe/Warsaw,Q:1,R:45.141.215.0/24,S:210558,T:1
